ID,Name,Link,Image,Price,Category,,,,,,,Category
13018564,"ASUS C223NA 11.6"" Chromebook - Grey (Intel Celeron N3350/32GB HDD/4GB RAM/Chrome OS)",https://www.bestbuy.ca/en-ca/product/asus-c223na-11-6-chromebook-grey-intel-celeron-n3350-32gb-hdd-4gb-ram-chrome-os/13018564.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/130/13018/13018564.jpg,$259.99 ,Chromebooks,,,,,,,Projectors & Accessories
13309284,"ASUS C223NA 11.6"" Chromebook - Grey (Intel Celeron N3350/32GB HDD/4GB RAM/Chrome OS) - Open Box",https://www.bestbuy.ca/en-ca/product/asus-c223na-11-6-chromebook-grey-intel-celeron-n3350-32gb-hdd-4gb-ram-chrome-os-open-box/13309284.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/133/13309/13309284.jpg,$219.99 ,Chromebooks,,,,,,,Unlocked ASUS Phones
13309285,"ASUS C202SA 11.6"" Chromebook - Dark Grey (Intel Celeron N3060/16GB HDD/2GB RAM/Chrome OS) - Open Box",https://www.bestbuy.ca/en-ca/product/asus-c202sa-11-6-chromebook-dark-grey-intel-celeron-n3060-16gb-hdd-2gb-ram-chrome-os-open-box/13309285.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/133/13309/13309285.jpg,$179.99 ,Chromebooks,,,,,,,Windows Tablets
13388844,"ASUS C523NA 15.6"" Touchscreen Chromebook (Intel Pentium N4200/64GB HDD/4GB RAM/Chrome OS) - Open Box",https://www.bestbuy.ca/en-ca/product/asus-c523na-15-6-touchscreen-chromebook-intel-pentium-n4200-64gb-hdd-4gb-ram-chrome-os-open-box/13388844.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/133/13388/13388844.jpg,$359.99 ,Chromebooks,,,,,,,Wireless Routers
13359104,"ASUS 27"" FHD 75Hz 5ms GTG IPS LED Monitor (VZ279HE) - Black",https://www.bestbuy.ca/en-ca/product/asus-27-fhd-75hz-5ms-gtg-ips-led-monitor-vz279he-black/13359104.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/133/13359/13359104.jpg,$199.99 ,Computer Monitors,,,,,,,Wireless USB Adapters
10737846,"ASUS 21.5"" FHD 60Hz 5ms GTG IPS LED Monitor (VZ229H) - Black",https://www.bestbuy.ca/en-ca/product/asus-21-5-fhd-60hz-5ms-gtg-ips-led-monitor-vz229h-black/10737846.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/107/10737/10737846.jpg,$129.99 ,Computer Monitors,,,,,,,
10460629,"ASUS 31.5"" WQHD 60Hz 5ms IPS LED Monitor (VA32AQ)",https://www.bestbuy.ca/en-ca/product/asus-asus-31-5-wqhd-60hz-5ms-ips-led-monitor-va32aq-va32aq/10460629.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/104/10460/10460629.jpg,$329.99 ,Computer Monitors,,,,,,,
10737845,"ASUS ZenScreen 15.6"" FHD 60Hz 5ms GTG IPS LCD Monitor (MB16AC) - Dark Grey",https://www.bestbuy.ca/en-ca/product/asus-zenscreen-15-6-fhd-60hz-5ms-gtg-ips-lcd-monitor-mb16ac-dark-grey/10737845.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/107/10737/10737845.jpg,$289.99 ,Computer Monitors,,,,,,,
12869234,ASUS VivoMini VC66 Mini PC (Intel Core i5-8400/1TB HDD/8GB RAM/Windows 10),https://www.bestbuy.ca/en-ca/product/asus-vivomini-vc66-mini-pc-intel-core-i5-8400-1tb-hdd-8gb-ram-windows-10/12869234.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/128/12869/12869234.jpg,$818.99 ,Everyday Computing,,,,,,,
10448418,"Dell Alienware Steam Machine - i7 4785T, 8GB DDR3, 1TB HDD, NVIDIA GeForce GTX, Steam OS",https://www.bestbuy.ca/en-ca/product/alienware-dell-alienware-steam-machine-i7-4785t-8gb-ddr3-1tb-hdd-nvidia-geforce-gtx-steam-os-asm100-6980blk/10448418.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/104/10448/10448418.jpeg,$619.00 ,Gaming Desktop Computers,,,,,,,
13469691,Alienware Aurora R8 - Nvidia RTX 2080 Ti - i9-9900K- 16GB - 256GB SSD + 2TB HD -WIN 10 Home - Certified Refurbished,https://www.bestbuy.ca/en-ca/product/alienware-aurora-r8-nvidia-rtx-2080-ti-i9-9900k-16gb-256gb-ssd-2tb-hd-win-10-home-certified-refurbished/13469691.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/134/13469/13469691.jpg,"$3,399.00 ",Gaming Desktop Computers,,,,,,,
13339575,Alienware Area 51 R6 - Nvidia 1050 Ti -Threadripper 1900X - 8GB RAM - 2TB HD-WIN 10 HOME-Certified Refurbished,https://www.bestbuy.ca/en-ca/product/alienware-area-51-r6-nvidia-1050-ti-threadripper-1900x-8gb-ram-2tb-hd-win-10-home-certified-refurbished/13339575.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/133/13339/13339575.jpg,"$1,899.00 ",Gaming Desktop Computers,,,,,,,
13469684,Alienware Aurora R8 - Nvidia GTX 1080 - i7-9700K- 16GB - 256GB SSD + 1TB HD -WIN 10 Home - Certified Refurbished,https://www.bestbuy.ca/en-ca/product/alienware-aurora-r8-nvidia-gtx-1080-i7-9700k-16gb-256gb-ssd-1tb-hd-win-10-home-certified-refurbished/13469684.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/134/13469/13469684.jpg,"$2,299.00 ",Gaming Desktop Computers,,,,,,,
